id,architecture,reference_path,search_path,gt_x,gt_y,canvas_seed,crop_index,jitter_profile,imaging_noise_profile,geometric_profile,scale_ratio,rotation_deg
0,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00000.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00000.png,338.3,537.1,200000,0,normal,clean,normal,1.0,0.0
1,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00001.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00001.png,473.5,874.5,200001,0,normal,clean,normal,1.0,0.0
2,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00002.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00002.png,416.3,741.9,200002,0,normal,clean,normal,1.0,0.0
3,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00003.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00003.png,260.9,420.8,200003,0,normal,clean,normal,1.0,0.0
4,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00004.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00004.png,625.1,506.3,200004,0,normal,clean,normal,1.0,0.0
5,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00005.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00005.png,512.5,233.1,200005,0,normal,clean,normal,1.0,0.0
6,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00006.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00006.png,947.6,570.0,200006,0,normal,clean,normal,1.0,0.0
7,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00007.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00007.png,233.4,325.6,200007,0,normal,clean,normal,1.0,0.0
8,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00008.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00008.png,738.8,368.0,200008,0,normal,clean,normal,1.0,0.0
9,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00009.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00009.png,53.7,53.0,200009,0,normal,clean,normal,1.0,0.0
10,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00010.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00010.png,359.7,886.8,200010,0,normal,clean,normal,1.0,0.0
11,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00011.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00011.png,134.3,751.7,200011,0,normal,clean,normal,1.0,0.0
12,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00012.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00012.png,280.1,875.3,200012,0,normal,clean,normal,1.0,0.0
13,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00013.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00013.png,889.6,892.0,200013,0,normal,clean,normal,1.0,0.0
14,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00014.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00014.png,920.5,730.5,200014,0,normal,clean,normal,1.0,0.0
15,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00015.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00015.png,886.3,388.5,200015,0,normal,clean,normal,1.0,0.0
16,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00016.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00016.png,570.8,536.1,200016,0,normal,clean,normal,1.0,0.0
17,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00017.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00017.png,408.6,652.4,200017,0,normal,clean,normal,1.0,0.0
18,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00018.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00018.png,344.8,214.7,200018,0,normal,clean,normal,1.0,0.0
19,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00019.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00019.png,836.2,823.0,200019,0,normal,clean,normal,1.0,0.0
20,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00020.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00020.png,658.0,543.2,200020,0,normal,clean,normal,1.0,0.0
21,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00021.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00021.png,713.2,339.5,200021,0,normal,clean,normal,1.0,0.0
22,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00022.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00022.png,559.3,796.2,200022,0,normal,clean,normal,1.0,0.0
23,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00023.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00023.png,187.0,328.2,200023,0,normal,clean,normal,1.0,0.0
24,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00024.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00024.png,419.3,810.3,200024,0,normal,clean,normal,1.0,0.0
25,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00025.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00025.png,581.9,872.8,200025,0,normal,clean,normal,1.0,0.0
26,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00026.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00026.png,438.6,131.4,200026,0,normal,clean,normal,1.0,0.0
27,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00027.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00027.png,773.5,413.0,200027,0,normal,clean,normal,1.0,0.0
28,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00028.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00028.png,847.3,868.1,200028,0,normal,clean,normal,1.0,0.0
29,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00029.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00029.png,933.0,789.6,200029,0,normal,clean,normal,1.0,0.0
30,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00030.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00030.png,922.1,890.5,200030,0,normal,clean,normal,1.0,0.0
31,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00031.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00031.png,76.0,883.3,200031,0,normal,clean,normal,1.0,0.0
32,dram,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/reference/00032.png,/home/nihal/Desktop/Huggingface/KryonixNova/puthere/output/condition_sweep_100/search/00032.png,866.3,290.1,200032,0,normal,clean,normal,1.0,0.0
